date,feature_index,SO2
2025-11-01T00:00:00.000Z,0,
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,
2026-01-19T00:00:00.000Z,0,-9.373156353831291E-5
2026-01-21T00:00:00.000Z,0,
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,5.471863187267445E-5
2026-02-14T00:00:00.000Z,0,7.282119622686878E-5
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,5.7340039347764105E-5
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,2.9275304405018687E-4
2026-02-12T00:00:00.000Z,0,
2026-02-17T00:00:00.000Z,0,-2.3948615125846118E-4
2026-05-02T00:00:00.000Z,0,
2026-04-26T00:00:00.000Z,0,-3.3115808037109673E-4
2026-04-25T00:00:00.000Z,0,2.4218217004090548E-4
2026-05-01T00:00:00.000Z,0,2.3237189452629536E-4
2026-04-27T00:00:00.000Z,0,
2026-04-29T00:00:00.000Z,0,
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,
2026-08-16T00:00:00.000Z,0,1.4735993318026885E-5
2026-08-21T00:00:00.000Z,0,3.8333400152623653E-4
2026-08-18T00:00:00.000Z,0,5.89636794757098E-4
2026-08-15T00:00:00.000Z,0,3.526987857185304E-4
2026-08-19T00:00:00.000Z,0,5.79042942263186E-4
2026-08-22T00:00:00.000Z,0,-2.0707485964521766E-4
2026-08-17T00:00:00.000Z,0,6.124987703515217E-5
2026-08-20T00:00:00.000Z,0,1.6419877647422254E-4
2025-09-03T00:00:00.000Z,0,2.1798457601107657E-4
2025-09-04T00:00:00.000Z,0,-9.311638859799132E-5
2025-09-02T00:00:00.000Z,0,-1.3242775457911193E-4
2025-08-29T00:00:00.000Z,0,-3.650142753031105E-4
2025-08-30T00:00:00.000Z,0,1.2374817742966115E-4
2025-08-28T00:00:00.000Z,0,1.0854171705432236E-4
2025-08-31T00:00:00.000Z,0,-4.78428672067821E-4
2025-09-01T00:00:00.000Z,0,2.980812860187143E-4
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,
2025-10-02T00:00:00.000Z,0,-3.680867957882583E-4
2025-10-06T00:00:00.000Z,0,-1.4164340973366052E-4
2025-10-04T00:00:00.000Z,0,9.188162948703393E-5
2025-10-03T00:00:00.000Z,0,1.5248541603796184E-4
2025-10-05T00:00:00.000Z,0,-2.4757138453423977E-4
2025-09-29T00:00:00.000Z,0,
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,-2.7777690775110386E-5
2025-11-25T00:00:00.000Z,0,3.9391679456457496E-4
2025-11-28T00:00:00.000Z,0,
2025-11-29T00:00:00.000Z,0,2.0900646632071584E-5
2025-12-01T00:00:00.000Z,0,2.5744226877577603E-4
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,9.2144517111592E-5
2026-01-02T00:00:00.000Z,0,
2025-12-28T00:00:00.000Z,0,4.3483273475430906E-4
2025-12-30T00:00:00.000Z,0,
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,6.741332617821172E-5
2025-12-27T00:00:00.000Z,0,
2026-03-19T00:00:00.000Z,0,
2026-03-16T00:00:00.000Z,0,-2.4737411877140403E-4
2026-03-21T00:00:00.000Z,0,
2026-03-22T00:00:00.000Z,0,
2026-03-23T00:00:00.000Z,0,1.2034401152050123E-4
2026-03-20T00:00:00.000Z,0,
2026-03-17T00:00:00.000Z,0,1.4055354404263198E-4
2026-03-18T00:00:00.000Z,0,1.8098161672241986E-4
2026-06-22T00:00:00.000Z,0,7.50826089642942E-4
2026-06-26T00:00:00.000Z,0,2.9192143119871616E-4
2026-06-20T00:00:00.000Z,0,-1.6187144501600415E-4
2026-06-21T00:00:00.000Z,0,3.0896157841198146E-4
2026-06-27T00:00:00.000Z,0,1.4761704369448125E-4
2026-06-23T00:00:00.000Z,0,1.9049353431910276E-4
2026-06-24T00:00:00.000Z,0,-1.8264133541379124E-4
2026-06-25T00:00:00.000Z,0,-1.8081589951179922E-4
2026-08-10T00:00:00.000Z,0,-1.453380536986515E-4
2026-08-07T00:00:00.000Z,0,2.838181098923087E-4
2026-08-09T00:00:00.000Z,0,4.964934778399765E-4
2026-08-08T00:00:00.000Z,0,1.630253391340375E-4
2026-08-13T00:00:00.000Z,0,-0.0010879418114200234
2026-08-12T00:00:00.000Z,0,-1.470810457249172E-5
2026-08-11T00:00:00.000Z,0,-4.0244843694381416E-4
2026-08-14T00:00:00.000Z,0,2.4014274822548032E-4
